م,المراجع,التاريخ,النجوم,نص المراجعة الأصلي,اللغة,اكتمال النص,اتجاه النص,توافق النص مع النجوم,الموضوع الرئيسي,موضوع ثانوي,الأهمية لـ MeMuslim,ما نتعلمه لـ MeMuslim,الإجراء المقترح,مصدر الصورة
1,anesa marh,2026-07-06,5,مافيه اعلانات خدمته كويسه جدا انصح فيه مميزاته حلوة وينظم لك الختمه ويساعدك على ختمة القرآن بشكل ممتاز بالايام اللي تساعد وكمية الورد اللي تقروه يوميا انصح فيه وبشدة,العربية,كامل تقريبًا,إيجابي,متوافق,الختمة والورد اليومي,بدون إعلانات,فرصة عالية,القيمة الأساسية التي يفهمها المستخدم فورًا هي تنظيم الختمة ومساعدته على إكمال القرآن، مع تقدير واضح لعدم وجود إعلانات.,اجعل «ورد اليوم/خطة الختمة» محور الصفحة الرئيسية، واظهر وعد «بدون إعلانات» بوضوح في المتجر وداخل المنتج.,S01
2,Razan Amer,2026-07-05,5,تحفه بجد ضامم حاجات كتير بجد رائع,العربية,كامل,إيجابي,متوافق,القيمة الشاملة/كل شيء في مكان واحد,تقييم عام,فرصة متوسطة,المستخدم يقدّر وجود احتياجات إسلامية متعددة في تطبيق واحد، بشرط ألا يضيع الوعد الأساسي.,حافظ على شمولية الأدوات، لكن نظّمها حول رحلة يومية واضحة بدل عرضها كقائمة خصائص مبعثرة.,S01
3,Abdelkareemtalaat,2026-07-05,5,excellent,الإنجليزية,كامل,إيجابي,متوافق,تقييم عام,,إشارة عامة,مدح عام لا يكشف سبب القيمة؛ يجب قياس لحظة الإعجاب داخل التطبيق بدل الاعتماد على التعليقات القصيرة.,أضف استبيانًا اختياريًا قصيرًا داخل التطبيق: «ما أكثر ميزة أفادتك؟» بعد عدة جلسات ناجحة.,S01
4,Mona Abdelmaged,2026-06-30,5,ممتاز جدا الله يجزيكم خير المشكلة الوحيدة نسخة الاندرويد لا يوجد فيه صوت,العربية,كامل,مختلط/طلب,متوافق جزئيًا,تكافؤ Android وiOS,الصوت والتلاوة,P1,حتى المستخدم الراضي قد يعتبر غياب ميزة أساسية على Android نقصًا واضحًا، ويقارن المنصتين مباشرة.,أنشئ مصفوفة تكافؤ منصات تمنع إصدار أي ميزة أساسية على iOS دون Android أو العكس.,"S01,S02"
5,Marouane Sbai,2026-06-30,5,honestly it's one of the best app for reading Koran and follow your Weird and many things like Dikr also it's so easy to use specifically for old man or someone one every thing in one place,الإنجليزية,كامل,إيجابي,متوافق,سهولة الاستخدام وإتاحة كبار السن,الختمة والورد اليومي,فرصة عالية,البساطة، وضوح الورد، وجمع الاحتياجات في مكان واحد عوامل قيمة خصوصًا لكبار السن.,اعتمد وضعًا مريحًا: خطوط أكبر، تباين واضح، أزرار كبيرة، ومسارات قصيرة للقراءة والأذكار.,S02
6,Sea,2026-06-29,5,The best application jazakom alh khyer 🤍,الإنجليزية,كامل,إيجابي,متوافق,تقييم عام,,إشارة عامة,الثقة والامتنان قويان في التطبيقات الدينية، لكن يجب ربطهما بميزات قابلة للقياس.,اطلب التقييم بعد إنجاز ورد أو المحافظة على الصلاة/الأذكار لعدة أيام، لا بعد فتح التطبيق مباشرة.,S02
7,Tariq Satar,2026-06-29,5,this is very good for Muslim and I loved this because is very very important🤩 for Muslim and I'm very …,الإنجليزية,جزئي,إيجابي,متوافق,تقييم عام,القيمة الدينية اليومية,إشارة عامة,التطبيق يُنظر إليه كأداة مهمة للمسلم، لكن النص مقطوع ولا يحدد ميزة بعينها.,وضّح في صفحة المتجر وبداية التطبيق ما الذي يجعل MeMuslim «مهمًا يوميًا» في جملة واحدة.,S02
8,Kareem Aboelataa,2026-06-02,1,"very bad application, so old UI UX, it makes you feel that this application developed in 2014 and never gets updated, so bad for the eyes also, idk how you got this 5m downloads.",الإنجليزية,كامل,سلبي,متوافق,التصميم وتجربة الاستخدام,إجهاد العين,P1,الانتشار الكبير لا يعوّض واجهة قديمة أو مرهقة للعين؛ هذا باب تفوق مباشر لـ MeMuslim.,استثمر في واجهة هادئة وحديثة، وضع ليلي حقيقي، تباين مدروس، ومسافات وخط عربي مريح.,S03
9,Aishamaaso,2026-05-14,1,so good Alhamdulillah,الإنجليزية,كامل,إيجابي,غير متوافق (نص إيجابي مع نجمة واحدة),تقييم عام,مشكلة في فهم/اختيار التقييم,P1,بعض المستخدمين يكتبون مدحًا مع نجمة واحدة، ما يعني أن النجوم وحدها لا تكفي وقد تكون واجهة طلب التقييم مربكة.,اختبر تدفق طلب التقييم ووضّح معنى النجوم، واطلب التقييم في لحظة نجاح دون ضغط أو خداع.,S03
10,Nourhan Ayad,2026-03-12,1,والله غش في تلفونات الاندرويد ما في تحديثات نفس تلفون الايفون شو هاي العنصرية 😢💔,العربية,كامل,سلبي,متوافق,تكافؤ Android وiOS,وتيرة التحديثات,P1,فجوة المنصات تتحول سريعًا إلى إحساس بعدم الإنصاف وتضر العلامة، حتى لو كانت أسبابها تقنية.,انشر سجل ميزات موحدًا، واعتبر تكافؤ Android/iOS بوابة إصدار لا مجرد هدف لاحق.,S03
11,の上サポーター,2026-03-08,1,أتمنى أن يكون مثل الايفون وجعل عند اضغط باستمرار على الآية يمكنك سماعها مثل (الايفون) وعدم ازالة بعض المزايا وشكرا,العربية,كامل تقريبًا,سلبي/طلب,متوافق,تكافؤ Android وiOS,تشغيل صوت الآية بالضغط المطول,P1,التفاعلات الصغيرة مثل الضغط المطول لسماع الآية قد تكون جزءًا أساسيًا من تجربة القراءة وليست تحسينًا ثانويًا.,وثّق تفاعلات المصحف الأساسية وطبّقها بالتساوي: الضغط المطول، التفسير، النسخ، المشاركة، والاستماع.,"S03,S04"
12,محمد ممدوح,2026-03-01,1,فيه أخطاء وحروف ناقصة,العربية,كامل,سلبي,متوافق,سلامة نص القرآن والبيانات الدينية,حروف ناقصة,P0 حرج,أي ادعاء بوجود حروف ناقصة يهدد الثقة الوجودية في التطبيق، حتى لو كان سببه خطًا أو عرضًا لا البيانات نفسها.,اعمل بوابة نزاهة للمصحف: مصدر موثوق غير قابل للتحرير اليدوي، checksums، اختبارات عدد الآيات/النص، ومراجعة بشرية.,S04
13,Abdelrahman,2026-02-22,1,bro I can't use the location feature and there is no add the location yourself so I can't know what time Salah is like bro each time I say use location it glitches out so I press again and it tells me give permission in the settings like bro I already did I swear to god this is going to stay a one star until it gets fixed what a waste of time I wasted so much time and energy trying to get this to work but nothing works,الإنجليزية,كامل,سلبي,متوافق,الموقع والصلاحيات,مواقيت الصلاة,P0,غياب إدخال الموقع يدويًا يجعل فشل الصلاحية طريقًا مسدودًا ويحوّل ميزة الصلاة إلى تجربة محبطة.,وفّر اختيار المدينة يدويًا، تشخيص الصلاحيات، إعادة المحاولة، وحالة واضحة تشرح لماذا تعذر تحديد الموقع.,S04
14,Layan Ammar,2026-02-09,1,مهم جدا في خاصية التفسير ليست مفعلة على الاندرويد,العربية,كامل,سلبي/طلب,متوافق,التفسير,تكافؤ Android وiOS,P1,التفسير يُعد من أساسيات تجربة القرآن لدى شريحة مهمة، وغيابه على منصة واحدة يضر القيمة.,أدرج التفسير ضمن الحد الأدنى الموحد لتجربة المصحف على كل المنصات مع تنزيل أوفلاين اختياري.,S05
15,Hoor Mahmoud,2026-01-29,1,مكتوب في وسط الأدعية أدعية مسيحية,العربية,كامل,سلبي,متوافق,سلامة نص القرآن والبيانات الدينية,محتوى الأدعية,P0 حرج,خلط أو خطأ في المحتوى الديني أخطر من bug تقني؛ قد ينسف الثقة في جميع أقسام التطبيق.,أنشئ سلسلة توريد محتوى موثقة: مصدر كل دعاء، مراجعة شرعية، إصدار بيانات، ومراجعة قبل النشر.,S05
16,Rawaa Jumaa,2026-01-29,1,المؤذن لا يؤذن,العربية,كامل,سلبي,متوافق,الأذان ومواقيت الصلاة,عدم تشغيل الأذان,P0,الأذان ميزة وعدها ثنائي: يعمل في الموعد أو يفقد المستخدم الثقة كليًا.,اعتبر الأذان خدمة حرجة مع اختبارات أجهزة حقيقية، exact alarms، مراقبة الفشل، وزر اختبار.,S05
17,a aa,2026-01-04,1,حطو أذان الأردن الشريف وهي نجمة فقط,العربية,كامل تقريبًا,سلبي/طلب,متوافق,تخصيص الأذان,اختيارات إقليمية,P2,اختيار صوت الأذان يحمل بعدًا ثقافيًا وإقليميًا وقد يؤثر في الرضا.,وفّر مكتبة أصوات أذان مرخصة مع معاينة وتنزيل، دون جعلها أولوية قبل موثوقية التشغيل.,"S05,S06"
18,ABDELRAHMAN ADEL,2025-12-22,1,"the touch is not working well at the screen at all while installing this app, you have to fix this",الإنجليزية,كامل,سلبي,متوافق,التصميم وتجربة الاستخدام,اللمس والاستجابة,P1,مشاكل اللمس أو الطبقات المتداخلة تجعل التطبيق يبدو معطلًا حتى لو كانت الوظائف الخلفية سليمة.,أضف اختبارات تفاعل على أحجام شاشات وكثافات مختلفة، وفحص overlays ومناطق اللمس.,S06
19,Alkalam library,2025-12-14,1,في مشكلة في تأخير الاذان شوية ياريت تظبط الموضوع ده الاذان بيأذن وبعدها البرنامج يأذن,العربية,كامل,سلبي,متوافق,الأذان ومواقيت الصلاة,تأخير التوقيت,P0,التأخر حتى دقائق قليلة يجعل الأذان غير موثوق؛ المستخدم يقارنه بالأذان الفعلي فورًا.,اعرض طريقة الحساب والمنطقة الزمنية، واسمح بضبط يدوي لكل صلاة مع تحقق من تغيّر DST.,S06
20,Hajar Moussaid,2025-11-29,1,"very useful application , jazakom allah lkhayr",الإنجليزية,كامل,إيجابي,غير متوافق (نص إيجابي مع نجمة واحدة),تقييم عام,مشكلة في فهم/اختيار التقييم,P1,تكرار النص الإيجابي مع نجمة واحدة يؤكد ضرورة تحليل النص لا النجوم فقط.,في لوحة التحليلات، صنّف sentiment من النص وراجع أي تقييم 1 نجمة مع نص إيجابي.,"S06,S07"
21,Shatha Nadhem,2025-11-09,1,It's hard to adjust,الإنجليزية,كامل,سلبي,متوافق,التصميم وتجربة الاستخدام,الإعدادات,P1,الإعدادات المعقدة أو غير الواضحة تمنع المستخدم من الوصول للقيمة الأساسية.,استخدم إعدادًا أوليًا قصيرًا مع defaults موثوقة وإمكانية تعديل متقدمة لاحقًا.,S07
22,Abdelrahman Abdelghani,2025-10-31,1,ترى التطبيق في كثير تحريفات للقرآن أعوذ بالله منه,العربية,كامل,سلبي,متوافق,سلامة نص القرآن والبيانات الدينية,ادعاء تحريفات,P0 حرج,مجرد انتشار تصور بوجود تحريفات قد يدمّر سمعة التطبيق حتى لو كان الخلل بصريًا أو في الترميز.,أضف توثيق مصدر المصحف داخل التطبيق، آلية بلاغ آية، واستجابة عامة شفافة لأي بلاغ مثبت.,S07
23,Saumu Karama,2025-10-06,1,Mashallah a Very good app.. it has become my everyday life friend.. may Allah become it ease for all of us,الإنجليزية,كامل,إيجابي,غير متوافق (نص إيجابي مع نجمة واحدة),القيمة الدينية اليومية,الاحتفاظ والعادة,فرصة عالية,الوصول إلى مكانة «رفيق يومي» أقوى من مجرد كثرة الميزات، وهي صياغة مناسبة لهوية MeMuslim.,صمّم Home حول احتياجات اليوم: الصلاة القادمة، ورد اليوم، ذكر اليوم، ومتابعة الاستماع.,S07
24,Nada Mohamed,2025-09-25,1,التطبيق حلو وأتمنى يبقى في مميزات أحدث,العربية,كامل,مختلط/طلب,غير متوافق جزئيًا,تطور المنتج والميزات,تقييم عام,P2,المنتج الجيد قد يبدو راكدًا إن لم تظهر تحسينات حديثة للمستخدم.,اعرض What's New موجزًا، وركز كل إصدار على فائدة ملموسة لا مجرد تغييرات تقنية.,S08
25,Mona Abdullah,2025-09-23,1,للأسف الاذان يتأخر عن الوقت مع انه تم ضبط التوقيت تلقائي ويدوي ولم ينفع,العربية,كامل,سلبي,متوافق,الأذان ومواقيت الصلاة,فشل الضبط التلقائي واليدوي,P0,وجود إعدادات ضبط لا يفيد إذا لم تغيّر النتيجة؛ يجب أن تكون قابلة للتشخيص والتحقق.,أظهر وقت النظام، المنطقة الزمنية، مصدر الموقع، طريقة الحساب، والـoffset الفعلي في شاشة تشخيص واحدة.,S08
26,Medo Wael,2025-09-20,1,الاذان مبيشتغلش,العربية,كامل,سلبي,متوافق,الأذان ومواقيت الصلاة,عدم تشغيل الأذان,P0,فشل الأذان متكرر وليس حالة فردية في العينة، ما يجعله أكبر خطر تشغيلي.,أنشئ telemetry خاصة بكل scheduled alarm وسبب عدم التشغيل، مع اختبار OEMs الشائعة في المنطقة.,S08
27,JUMA ALKHYELI,2025-09-17,1,خطأ في الأجزاء لم يوجد خطأ في الختمة حيث ينتهي مثلا الجزء التاسع في آية 40 من سورة الأنفال و الجزء العاشر في الختمه يبدأ من آية رقم 55 تقريبا وربع حزب موجود في الختمه الرجاء المراجعه و التعديل ويمكن توجد نفس الأخطاء في باقي الأجزاء و شكرا,العربية,كامل تقريبًا,سلبي,متوافق,سلامة نص القرآن والبيانات الدينية,حدود الأجزاء والختمة,P0 حرج,صحة حدود الأجزاء والأحزاب جزء من نزاهة خطة الختمة، وليست metadata ثانوية.,اختبر آليًا حدود كل جزء وحزب وربع مقابل مصدر رسمي، ولا تولّد خطة الورد من أرقام يدوية.,S09
28,Heba Mohamed,2025-09-17,1,I didn't like it its not working with me,الإنجليزية,كامل,سلبي,متوافق,الاستقرار والأعطال,فشل عام غير محدد,P1,التعليق غير قابل للتشخيص؛ التطبيق يحتاج قناة بلاغ تجمع سياق الجهاز تلقائيًا.,أضف «الإبلاغ عن مشكلة» يرفق الإصدار، النظام، آخر مسار، وأكواد الخطأ بموافقة المستخدم.,S09
29,Essawy Salahudin,2025-08-31,1,الاذان لا يعمل بتاتا ماذا اعمل,العربية,كامل,سلبي,متوافق,الأذان ومواقيت الصلاة,عدم تشغيل الأذان,P0,المستخدم لا يعرف هل المشكلة صلاحية أم بطارية أم إعداد، ويحتاج مسار إصلاح ذاتي واضح.,أنشئ Adhan Health Check يفحص الإشعارات، exact alarm، البطارية، الصوت، والمنطقة الزمنية ويعرض خطوات الإصلاح.,S09
30,غير ظاهر في الصورة,2025-08-30,1,البرنامج أكثر من رائع، تظهر بين الفترة والثانية شاشة مزعجة لدعم التطبيق ومكتوب عليها لمرة واحدة، قمت بالدعم على أمل ارتاح من ظهور الشاشة لكن للأسف تستمر شاشة طلب الدعم في الظهور اللهم تم تقليل عدد ظهورها فقط للأسف، الوضوح والصدق زين من البداية وضحوا ان الشاشة المزعجة ستستمر في الظهور حتى بعد الدعم,العربية,كامل تقريبًا,مختلط/سلبي,متوافق,الإعلانات/الدعم/الدفع,شفافية طلب الدعم,P1,طلب الدعم المتكرر بعد الدفع يُفسَّر كخداع ويحوّل تجربة جيدة إلى نجمة واحدة.,لا تعرض أي نافذة دعم متكررة بعد الشراء، واشرح بدقة ما الذي يزيله الدفع وما الذي لا يزيله.,S10
31,Rahma Ahmed,2025-08-03,1,سي جدا مش بيأذن اصلا,العربية,كامل,سلبي,متوافق,الأذان ومواقيت الصلاة,عدم تشغيل الأذان,P0,تكرار نفس الشكوى بصيغ قصيرة يعني أن المشكلة تؤثر مباشرة في القيمة الأساسية.,لا تسوّق الأذان كميزة أساسية قبل الوصول إلى معدل نجاح مقاس وموثوق عبر الأجهزة.,S10
32,Dr El-Sayed,2025-07-31,1,!!!لماذا لا تبلغ ان التطبيق ليس مجاني؟ ان تبلغ ليس عيبا انما ليس جيدا ان اجد نفسي في ربع الختمه لما ادفع واما التوقف,العربية,كامل تقريبًا,سلبي,متوافق,الإعلانات/الدعم/الدفع,Paywall مفاجئ,P1,إظهار الدفع في منتصف رحلة الختمة يخلق إحساسًا بالاحتجاز وكسر الثقة.,بيّن المجاني والمدفوع قبل بدء أي خطة طويلة، ولا تحجب استمرار ورد بدأه المستخدم دون إنذار صريح.,S10
33,غير ظاهر في الصورة,2025-04-26,1,الأذان يؤذن بشكل غير كامل و في غير الوقت الصحيح,العربية,كامل,سلبي,متوافق,الأذان ومواقيت الصلاة,صوت غير كامل وتوقيت خاطئ,P0,هناك بُعدان مستقلان يجب اختبارهـما: صحة توقيت الإطلاق واكتمال تشغيل ملف الأذان.,اختبر audio focus، مدة الملف، إيقاف النظام للخدمة، ودقة الجدولة كلٌ على حدة.,S11
34,Amenallah Yaich,2025-03-23,1,there quran is not fully correct,الإنجليزية,كامل,سلبي,متوافق,سلامة نص القرآن والبيانات الدينية,صحة المصحف,P0 حرج,حتى البلاغ غير المحدد عن صحة القرآن يستوجب تصعيدًا وتحقيقًا لا ردًا عامًا.,اجعل بلاغات المصحف فئة حرجة مع نموذج يطلب السورة والآية ولقطة ويعطي رقم متابعة.,S11
35,Grand Galaxy,2025-03-15,1,للأسف لم يكن كما توقعت بتاتا فالقراءات عنده لا تعمل,العربية,كامل تقريبًا,سلبي,متوافق,الصوت والتلاوة,القراءات لا تعمل,P1,ميزة التلاوة إن بدت متاحة ثم فشلت أسوأ من عدم وجودها؛ التوقع تم تكوينه ثم كسره.,أضف تحققًا من الروابط والتنزيلات، fallback للقارئ، وإظهار حالة الخطأ مع إعادة المحاولة.,S11
36,مصطفى الليلي,,1,لا يقوم بالتنبيه لوقت الصلاة في أوقات كثيرة وكذلك الميعاد يكون متأخر عن موعد الاذان الصحيح,العربية,كامل؛ التاريخ غير ظاهر,سلبي,متوافق,الأذان ومواقيت الصلاة,تنبيهات مفقودة وتوقيت متأخر,P0,مشاكل الأذان تشمل الفشل الكامل والفشل المتقطع والتأخير، ويجب قياس كل نوع على حدة.,"سجّل outcome لكل تنبيه: scheduled, delivered, started audio, completed audio، مع سبب الفشل.","S11,S12"
37,oz manic,2025-03-05,1,ماني عارف ليه كل مره ادخل التطبيق يطلبني ان ادعمه ؟؟؟؟؟؟,العربية,كامل,سلبي,متوافق,الإعلانات/الدعم/الدفع,نافذة متكررة,P1,الطلب المتكرر يقطع الاستخدام اليومي ويجعل المنتج يبدو عدوانيًا.,استخدم frequency cap صارمًا، زر «لا تعرض مجددًا»، ولا تظهر أي طلب أثناء القراءة أو الذكر.,S12
38,Sinner,2025-02-28,1,Ads.,الإنجليزية,كامل,سلبي,متوافق,الإعلانات/الدعم/الدفع,الإعلانات,فرصة عالية,كلمة واحدة كافية لنجمة واحدة؛ «بدون إعلانات» ميزة تنافسية قوية لـ MeMuslim.,حافظ على عدم وجود الإعلانات واظهر ذلك كميزة أساسية، مع فصل أي خدمات مدفوعة بوضوح.,S12
39,chahla khelifi,2025-02-23,1,هذا لمن يقرأ بحفص... لكن توجد روايات اخرى كورش وقالون... ارجو اضافة اختيار الرواية بعين الاعتبار,العربية,كامل,سلبي/طلب,متوافق,القراءات والروايات,ورش وقالون,P2 استراتيجي,الاكتفاء بحفص يحد التبني في المغرب العربي، حيث الرواية جزء من ملاءمة السوق.,صمّم طبقة بيانات تدعم الروايات من البداية، وابدأ بورش عند استهداف المغرب العربي بعد اعتماد المصادر.,"S12,S13"
40,tchakal dragon,2025-02-23,1,نحن المغاربة نعتمد رواية ورش.. و التطبيق برواية حفص.. انا مضطر لابحث عن تطبيق آخر.. على كل حال جزاكم الله خيرا على مجهوداتكم,العربية,كامل,سلبي/طلب,متوافق,القراءات والروايات,ملاءمة المغرب العربي,P2 استراتيجي,غياب الرواية المحلية سبب مباشر للانتقال إلى منافس، لا مجرد طلب لطيف.,اربط توسيع الروايات بخطة دخول الأسواق، ولا تدّع دعم بلد قبل دعم روايته الشائعة.,S13
41,Masa Hossam,2025-02-22,1,ممتاز و في كل حاجه,العربية,كامل,إيجابي,غير متوافق (نص إيجابي مع نجمة واحدة),القيمة الشاملة/كل شيء في مكان واحد,مشكلة في فهم/اختيار التقييم,P1,توجد إشادة واضحة بالشمولية رغم النجمة الواحدة، ما يشوّه متوسط التقييم.,راقب التقييمات النصية المتناقضة وردّ بلطف لتأكيد إن كان التقييم مقصودًا.,S13
42,Omar Ahmed,2025-02-02,1,سيء لماذا لو لم افتح التطبيق لن يؤذن انا لم افتحه في خلال أسبوع واحد وبعدها لم يؤذن,العربية,كامل تقريبًا,سلبي,متوافق,الأذان ومواقيت الصلاة,العمل في الخلفية,P0,اعتماد الأذان على فتح التطبيق دوريًا يكسر الوعد الأساسي ويظهر بعد أيام لا في اختبار قصير.,اختبر الجدولة عبر 7-14 يومًا دون فتح التطبيق، بعد إعادة التشغيل وتحديث النظام وتوفير البطارية.,S14
43,asmaa abdelhamid,2025-01-25,1,بقى سيئ,العربية,كامل,سلبي,متوافق,تراجع الجودة بعد تحديث,تقييم عام,P1,انطباع «كان جيدًا ثم ساء» أخطر من ضعف البداية، وقد يشير إلى regression.,اربط كل إصدار بمراقبة crash-free وretention والتقييمات، مع rollback أو hotfix سريع.,S14
44,Aprar Gamal,2025-01-23,1,الاذان بطل يشتغل,العربية,كامل,سلبي,متوافق,الأذان ومواقيت الصلاة,Regression,P0,توقف الأذان بعد أن كان يعمل يدل على regression أو صلاحية/جدولة تنتهي مع الوقت.,أضف اختبارات ترقية من النسخ السابقة واختبارات إعادة جدولة بعد update/reboot/timezone change.,S14
45,غير ظاهر في الصورة,2025-01-14,1,وجدت خطأ: سورة الزخرف الآية ٢٢ «على آثارهم مهتدون».,العربية,كامل تقريبًا,سلبي,متوافق,سلامة نص القرآن والبيانات الدينية,بلاغ آية محددة,P0 حرج,البلاغ المحدد يجب أن يمكن التحقق منه بسرعة وإرجاع نتيجة للمستخدم.,احتفظ بنسخة مصدر مرجعية قابلة للمقارنة آليًا، واسمح بربط البلاغ مباشرة بالآية.,S15
46,Mostafa Mahmoud,2025-01-04,1,التحري الدقة في الآيات القرآنية والمراجعة الدقيقة في قوله تعالى قال رب إني أعوذ بك أن أسألك ما ليس لي به علم وإلا تغفر لي وترحمني أكن من الخاسرين هود ٤٧ وليس ١٤٧ كما في التطبيق,العربية,كامل,سلبي,متوافق,سلامة نص القرآن والبيانات الدينية,رقم آية خاطئ,P0 حرج,حتى لو كان النص صحيحًا، خطأ رقم الآية يضر الاستشهاد والخطط والبحث والمشاركة.,اختبر أرقام الآيات والسور والعلاقات بينها من مصدر موثوق، ولا تستخدم إدخالات يدوية.,S15
47,Atif Bashab,2024-12-20,1,ممتاز,العربية,كامل,إيجابي,غير متوافق (نص إيجابي مع نجمة واحدة),تقييم عام,مشكلة في فهم/اختيار التقييم,P1,مثال إضافي على أن تحليل النجوم دون النص يضلل قرارات المنتج.,اعرض في تحليلات MeMuslim مؤشر «عدم توافق النجوم مع النص» لمراجعة الحالات يدويًا.,S15
48,Sa'ada Abdillahi,2026-06-29,5,"The app is a topnotch. However, I would suggest adding widgets concerning the main topic of the app which are Khatmas (daily readings). The existing widgets are very important for me and the missing ones are a must as well.",الإنجليزية,كامل,مختلط/طلب,متوافق,الويدجت والتتبع,الختمة والورد اليومي,P1,الويدجت ليست زينة؛ هي امتداد للحلقة اليومية وتذكّر المستخدم بالورد دون فتح التطبيق.,أعطِ أولوية لويدجت «ورد اليوم» مع التقدم وزر المتابعة، بجانب الصلاة والآية.,S16
49,YAZID Rawas,2026-06-29,5,all in one,الإنجليزية,كامل,إيجابي,متوافق,القيمة الشاملة/كل شيء في مكان واحد,,فرصة متوسطة,المنتج الشامل جذاب، لكن يجب حماية البساطة وتحديد مدخل يومي واحد.,استخدم Home موجهًا بالوقت بدل شبكة خصائص فقط.,S16
50,Reem Tasse,2026-06-29,5,I lovvvve it,الإنجليزية,كامل,إيجابي,متوافق,تقييم عام,,إشارة عامة,إعجاب عاطفي قوي، لكنه لا يكشف الميزة المسؤولة عنه.,اجمع event feedback اختياريًا بعد الإنجاز لفهم دوافع المحبة والاحتفاظ.,S16
51,Fouad Youssef,2026-06-26,5,تطبيق ممتاز ان امكن اضافة ميزة تتبع ايام الالتزام بالورد ستكون اضافة أكثر من رائعة,العربية,كامل,مختلط/طلب,متوافق,الويدجت والتتبع,Streak الالتزام بالورد,P1,المستخدم يريد رؤية الاستمرارية لا مجرد إنجاز ورد اليوم، ما يقوي العودة والهوية.,أضف streak رحيمًا لا يعاقب المستخدم: أيام الالتزام، أفضل سلسلة، واستئناف بلا إحباط.,S17
52,Mohamed Yahia,2026-06-26,5,The cleanest quran app if you want premium look,الإنجليزية,كامل,إيجابي,متوافق,التصميم وتجربة الاستخدام,مظهر Premium,فرصة عالية,النظافة البصرية والمظهر الفاخر ميزة يلاحظها المستخدم ويذكرها صراحة.,اجعل جودة UI ولقطات المتجر جزءًا من استراتيجية النمو، لا مجرد تحسين داخلي.,S17
53,Nada Mohammed,2026-06-25,5,ابليكيشن جميل جدا ومفيد,العربية,كامل,إيجابي,متوافق,تقييم عام,الجمال والفائدة,فرصة متوسطة,الجمع بين الجمال والفائدة هو معيار نجاح واضح في هذه الفئة.,لا تضف ميزة إلا إن حافظت على بساطة الواجهة ووضوح القيمة.,S17
54,Hesham Djebbari,2026-06-24,5,ياريت تقدر نضيف في الاذكار الصباح والمساء .. مثل مية صلاة على النبي THE BEST,العربية/الإنجليزية,كامل تقريبًا,مختلط/طلب,متوافق,الأذكار والمحتوى,الصلاة على النبي,P2,المستخدمون يريدون توسيع الروتين اليومي داخل الأذكار، لكن المحتوى يجب أن يكون موثقًا.,أضف حزم أذكار موثقة مع المصادر والعداد، وتجنب أي محتوى غير مراجع شرعيًا.,S18
55,Ahmed harbed,2026-06-24,5,جدااااا رائع ممتاززززز,العربية,كامل,إيجابي,متوافق,تقييم عام,,إشارة عامة,إعجاب قوي دون تفاصيل؛ لا يكفي وحده لتحديد خارطة الطريق.,اربط التقييمات بالأحداث السابقة لها داخل analytics لفهم ميزة الإعجاب.,S18
56,ALI BENSIDAHMED,2026-06-23,5,افضل تطبيق على حسب تجربتي. كما نرجو من القائمين على التطبيق اضافة عدة روايات مثل رواية ورش وبارك الله في الجميع,العربية,كامل,مختلط/طلب,متوافق,القراءات والروايات,ورش,P2 استراتيجي,حتى المستخدم شديد الرضا يرى تعدد الروايات فجوة مهمة، ما يؤكد وجود طلب حقيقي.,اجمع طلب الرواية حسب البلد قبل الاستثمار، وابدأ بسوق واضح ومصدر مصحف معتمد.,S18
57,UKREM Masresha,2026-06-19,5,the best app to have the best relationship with the Quran . shukran( thank you) for the creator of this application 🙏,الإنجليزية,كامل,إيجابي,متوافق,الختمة والورد اليومي,العلاقة بالقرآن,فرصة عالية,النتيجة العاطفية المرغوبة ليست «استخدام تطبيق» بل بناء علاقة أفضل مع القرآن.,صِغ قيمة MeMuslim حول الاستمرارية والقرب من القرآن، وليس عدد الأدوات فقط.,S19
58,ksa وطن عظيم,2026-06-19,5,عظيم,العربية,كامل,إيجابي,متوافق,تقييم عام,,إشارة عامة,مدح عام دون سبب محدد.,استخدم تحليلات السلوك لفهم ما سبق التقييم.,S19
59,s s,2026-06-19,5,good application,الإنجليزية,كامل,إيجابي,متوافق,تقييم عام,,إشارة عامة,مدح عام.,لا تعتمد على التعليقات العامة لتحديد الأولويات؛ استخدمها كإشارة رضا فقط.,S19
